"itemid","itemname","itemimageurl","itemimagename"
219314,"Ara-Kara Sacbrood","https://wow.zamimg.com/images/wow/icons/large/inv_raid_mercurialegg_red.jpg","inv_raid_mercurialegg_red.jpg"
219316,"Ceaseless Swarmgland","https://wow.zamimg.com/images/wow/icons/large/inv_misc_organmass_color2.jpg","inv_misc_organmass_color2.jpg"
219317,"Harvester's Edict","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_dungeon_oldgodstatuepiece_purple.jpg","inv_11_0_dungeon_oldgodstatuepiece_purple.jpg"
221150,"Arachnoid Soulcleaver","https://wow.zamimg.com/images/wow/icons/large/inv_sword_1h_earthendungeon_c_02.jpg","inv_sword_1h_earthendungeon_c_02.jpg"
221151,"Devourer's Gauntlets","https://wow.zamimg.com/images/wow/icons/large/inv_glove_plate_earthendungeon_c_01.jpg","inv_glove_plate_earthendungeon_c_01.jpg"
221152,"Silksteel Striders","https://wow.zamimg.com/images/wow/icons/large/inv_boot_mail_earthendungeon_c_01.jpg","inv_boot_mail_earthendungeon_c_01.jpg"
221153,"Gauzewoven Legguards","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_pant.jpg","inv_leather_earthendungeon_c_01_pant.jpg"
221154,"Swarmcaller's Shroud","https://wow.zamimg.com/images/wow/icons/large/inv_cape_mail_earthendungeon_c_01.jpg","inv_cape_mail_earthendungeon_c_01.jpg"
221155,"Swarm Monarch's Spaulders","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_plate_earthendungeon_c_01.jpg","inv_shoulder_plate_earthendungeon_c_01.jpg"
221156,"Cryptbound Headpiece","https://wow.zamimg.com/images/wow/icons/large/inv_helm_mail_earthendungeon_c_01.jpg","inv_helm_mail_earthendungeon_c_01.jpg"
221157,"Unbreakable Beetlebane Bindings","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_bracer.jpg","inv_leather_earthendungeon_c_01_bracer.jpg"
221158,"Burrower's Cinch","https://wow.zamimg.com/images/wow/icons/large/inv_belt_cloth_earthendungeon_c_01.jpg","inv_belt_cloth_earthendungeon_c_01.jpg"
221159,"Harvester's Interdiction","https://wow.zamimg.com/images/wow/icons/large/inv_staff_2h_earthendungeon_c_02.jpg","inv_staff_2h_earthendungeon_c_02.jpg"
221160,"Blight Hunter's Scalpelglaive","https://wow.zamimg.com/images/wow/icons/large/inv_glaive_1h_earthendungeon_c_01.jpg","inv_glaive_1h_earthendungeon_c_01.jpg"
221161,"Experimental Goresilk Chestguard","https://wow.zamimg.com/images/wow/icons/large/inv_chest_plate_earthendungeon_c_01.jpg","inv_chest_plate_earthendungeon_c_01.jpg"
221162,"Claws of Tainted Ichor","https://wow.zamimg.com/images/wow/icons/large/inv_glove_mail_earthendungeon_c_01.jpg","inv_glove_mail_earthendungeon_c_01.jpg"
221163,"Whispering Mask","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_helm.jpg","inv_leather_earthendungeon_c_01_helm.jpg"
221164,"Archaic Venomancer's Footwraps","https://wow.zamimg.com/images/wow/icons/large/inv_pant_cloth_earthendungeon_c_01.jpg","inv_pant_cloth_earthendungeon_c_01.jpg"
221165,"Unceremonious Bloodletter","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_earthendungeon_c_01.jpg","inv_knife_1h_earthendungeon_c_01.jpg"
