"itemid","itemname","itemimageurl","itemimagename"
219318,"Oppressive Orator's Larynx","https://wow.zamimg.com/images/wow/icons/large/spell_shadow_shadowmend.jpg","spell_shadow_shadowmend.jpg"
219319,"Twin Fang Instruments","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_dungeon_fancybox_purple.jpg","inv_11_0_dungeon_fancybox_purple.jpg"
219320,"Viscous Coaglam","https://wow.zamimg.com/images/wow/icons/large/inv_raid_creepingcoagulum_blue.jpg","inv_raid_creepingcoagulum_blue.jpg"
219321,"Cirral Concoctory","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_dungeon_tentaclevial_red.jpg","inv_11_0_dungeon_tentaclevial_red.jpg"
221166,"Krix'vizk's Speech Rod","https://wow.zamimg.com/images/wow/icons/large/inv_staff_2h_earthendungeon_c_01.jpg","inv_staff_2h_earthendungeon_c_01.jpg"
221167,"Vociferous Subjugator's Bracers","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_plate_earthendungeon_c_01.jpg","inv_bracer_plate_earthendungeon_c_01.jpg"
221168,"Cinch of Lingering Influence","https://wow.zamimg.com/images/wow/icons/large/inv_belt_mail_earthendungeon_c_01.jpg","inv_belt_mail_earthendungeon_c_01.jpg"
221169,"Whisperer's Echoing Steps","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_boot.jpg","inv_leather_earthendungeon_c_01_boot.jpg"
221170,"Subduer's Terrorgrips","https://wow.zamimg.com/images/wow/icons/large/inv_glove_cloth_earthendungeon_c_01.jpg","inv_glove_cloth_earthendungeon_c_01.jpg"
221171,"Kingslayer's Frostfang","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_earthendungeon_c_01.jpg","inv_knife_1h_earthendungeon_c_01.jpg"
221172,"Pail of Preserved Obscurity","https://wow.zamimg.com/images/wow/icons/large/inv_offhand_1h_earthendungeon_c_01.jpg","inv_offhand_1h_earthendungeon_c_01.jpg"
221173,"Legplates of Duality","https://wow.zamimg.com/images/wow/icons/large/inv_pant_plate_earthendungeon_c_01.jpg","inv_pant_plate_earthendungeon_c_01.jpg"
221174,"Penumbral Rimeguards","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_mail_earthendungeon_c_01.jpg","inv_bracer_mail_earthendungeon_c_01.jpg"
221175,"Shadowchill Amice","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_shoulder.jpg","inv_leather_earthendungeon_c_01_shoulder.jpg"
221176,"Arachnofrost Vest","https://wow.zamimg.com/images/wow/icons/large/inv_chest_cloth_earthendungeon_c_01.jpg","inv_chest_cloth_earthendungeon_c_01.jpg"
221177,"Old-Blood Hielaman","https://wow.zamimg.com/images/wow/icons/large/inv_shield_1h_earthendungeon_c_01.jpg","inv_shield_1h_earthendungeon_c_01.jpg"
221178,"Ichor-Stained Sollerets","https://wow.zamimg.com/images/wow/icons/large/inv_boot_plate_earthendungeon_c_01.jpg","inv_boot_plate_earthendungeon_c_01.jpg"
221179,"Coagulum Cuirass","https://wow.zamimg.com/images/wow/icons/large/inv_chest_mail_earthendungeon_c_01.jpg","inv_chest_mail_earthendungeon_c_01.jpg"
221180,"Gorebound Stranglers","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_glove.jpg","inv_leather_earthendungeon_c_01_glove.jpg"
221181,"Elder's Hemolymphal Periapt","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_nerubian_necklace_01_color5.jpg","inv_11_0_nerubian_necklace_01_color5.jpg"
221182,"Vitriolic Veinwoven Wraps","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_cloth_earthendungeon_c_01.jpg","inv_bracer_cloth_earthendungeon_c_01.jpg"
221183,"Splice 'n Dice","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_earthendungeon_c_01.jpg","inv_knife_1h_earthendungeon_c_01.jpg"
221184,"Surgical Heartstopper","https://wow.zamimg.com/images/wow/icons/large/inv_polearm_2h_earthendungeon_c_03.jpg","inv_polearm_2h_earthendungeon_c_03.jpg"
221185,"Flesh Connector's Epaulets","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_plate_earthendungeon_c_01.jpg","inv_shoulder_plate_earthendungeon_c_01.jpg"
221186,"Entwined Chimeric Legguards","https://wow.zamimg.com/images/wow/icons/large/inv_pant_mail_earthendungeon_c_01.jpg","inv_pant_mail_earthendungeon_c_01.jpg"
221187,"Intertwiner's Shadowcowl","https://wow.zamimg.com/images/wow/icons/large/inv_helm_cloth_earthendungeon_c_01.jpg","inv_helm_cloth_earthendungeon_c_01.jpg"
221188,"Viscera-Lathered Coat","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_chest.jpg","inv_leather_earthendungeon_c_01_chest.jpg"
221189,"Experiment 08752's Band","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_nerubian_ring_01_color5.jpg","inv_11_0_nerubian_ring_01_color5.jpg"
