"itemid","itemname","itemimageurl","itemimagename"
219304,"Conductor's Wax Whistle","https://wow.zamimg.com/images/wow/icons/large/inv_misc_whistle_color4.jpg","inv_misc_whistle_color4.jpg"
219305,"Carved Blazikon Wax","https://wow.zamimg.com/images/wow/icons/large/inv_misc_candlekobold_color1.jpg","inv_misc_candlekobold_color1.jpg"
219306,"Burin of the Candle King","https://wow.zamimg.com/images/wow/icons/large/inv_jewelcrafting_70_jeweledlockpick.jpg","inv_jewelcrafting_70_jeweledlockpick.jpg"
219307,"Remnant of Darkness","https://wow.zamimg.com/images/wow/icons/large/ability_demonhunter_darkness.jpg","ability_demonhunter_darkness.jpg"
221096,"Rail Rider's Bisector","https://wow.zamimg.com/images/wow/icons/large/inv_axe_1h_earthendungeon_c_01.jpg","inv_axe_1h_earthendungeon_c_01.jpg"
221097,"Arcane Scuttle","https://wow.zamimg.com/images/wow/icons/large/inv_offhand_1h_earthendungeon_c_01.jpg","inv_offhand_1h_earthendungeon_c_01.jpg"
221098,"Mole Knight's Grimemail","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_mail_earthendungeon_c_01.jpg","inv_shoulder_mail_earthendungeon_c_01.jpg"
221099,"Wick's Golden Loop","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_earthen_earthenring_color2.jpg","inv_11_0_earthen_earthenring_color2.jpg"
221100,"Waxsteel Greathelm","https://wow.zamimg.com/images/wow/icons/large/inv_helm_plate_earthendungeon_c_01.jpg","inv_helm_plate_earthendungeon_c_01.jpg"
221101,"Scent-Strong Candlecord","https://wow.zamimg.com/images/wow/icons/large/inv_belt_mail_earthendungeon_c_01.jpg","inv_belt_mail_earthendungeon_c_01.jpg"
221102,"Shimmering Glimclaws","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_glove.jpg","inv_leather_earthendungeon_c_01_glove.jpg"
221103,"Flickering Glowtorc","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_arathor_necklace_01_color2.jpg","inv_11_0_arathor_necklace_01_color2.jpg"
221104,"Gleamwax Shackles","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_cloth_earthendungeon_c_01.jpg","inv_bracer_cloth_earthendungeon_c_01.jpg"
221105,"Dark Zone Headtaker","https://wow.zamimg.com/images/wow/icons/large/inv_axe_1h_kobold_pickaxe_a_01.jpg","inv_axe_1h_kobold_pickaxe_a_01.jpg"
221106,"Gloomstomper's Sabatons","https://wow.zamimg.com/images/wow/icons/large/inv_boot_mail_earthendungeon_c_01.jpg","inv_boot_mail_earthendungeon_c_01.jpg"
221107,"Gleamkeeper's Buckle","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_belt.jpg","inv_leather_earthendungeon_c_01_belt.jpg"
221108,"King's Malicious Clutches","https://wow.zamimg.com/images/wow/icons/large/inv_glove_cloth_earthendungeon_c_01.jpg","inv_glove_cloth_earthendungeon_c_01.jpg"
221109,"Candlebearer's Shroud","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_cape.jpg","inv_leather_earthendungeon_c_01_cape.jpg"
221110,"Crepuscular Carver","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_earthendungeon_c_01.jpg","inv_knife_1h_earthendungeon_c_01.jpg"
221111,"Poleaxe of Somber Fate","https://wow.zamimg.com/images/wow/icons/large/inv_polearm_2h_earthendungeon_c_01.jpg","inv_polearm_2h_earthendungeon_c_01.jpg"
221112,"Caliginous Claspers","https://wow.zamimg.com/images/wow/icons/large/inv_glove_plate_earthendungeon_c_01.jpg","inv_glove_plate_earthendungeon_c_01.jpg"
221113,"Gloaming Visage","https://wow.zamimg.com/images/wow/icons/large/inv_helm_mail_earthendungeon_c_01.jpg","inv_helm_mail_earthendungeon_c_01.jpg"
221114,"Shadowspawn Leggings","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_pant.jpg","inv_leather_earthendungeon_c_01_pant.jpg"
221115,"Photophobic Amice","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_cloth_earthendungeon_c_01.jpg","inv_shoulder_cloth_earthendungeon_c_01.jpg"
