"itemid","itemname","itemimageurl","itemimagename"
133282,"Skardyn's Grace","https://wow.zamimg.com/images/wow/icons/large/inv_misc_coin_08.jpg","inv_misc_coin_08.jpg"
133283,"Modgud's Blade","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_cataclysm_c_01.jpg","inv_knife_1h_cataclysm_c_01.jpg"
133284,"Cursed Skardyn Vest","https://wow.zamimg.com/images/wow/icons/large/inv_chest_leather_31.jpg","inv_chest_leather_31.jpg"
133285,"Wildhammer Riding Helm","https://wow.zamimg.com/images/wow/icons/large/inv_helmet_mail_dungeonmail_c_03.jpg","inv_helmet_mail_dungeonmail_c_03.jpg"
133286,"Umbriss Band","https://wow.zamimg.com/images/wow/icons/large/inv_misc_stonering2.jpg","inv_misc_stonering2.jpg"
133287,"Ring of Dun Algaz","https://wow.zamimg.com/images/wow/icons/large/inv_misc_kingsring2.jpg","inv_misc_kingsring2.jpg"
133288,"Wand of Untainted Power","https://wow.zamimg.com/images/wow/icons/large/inv_wand_1h_cataclysm_c_03.jpg","inv_wand_1h_cataclysm_c_03.jpg"
133289,"Belt of the Forgemaster","https://wow.zamimg.com/images/wow/icons/large/inv_belt_plate_dungeonplate_c_03.jpg","inv_belt_plate_dungeonplate_c_03.jpg"
133290,"Dark Iron Chain Boots","https://wow.zamimg.com/images/wow/icons/large/inv_boots_mail_dungeonmail_c_03.jpg","inv_boots_mail_dungeonmail_c_03.jpg"
133291,"Throngus's Finger","https://wow.zamimg.com/images/wow/icons/large/inv_gizmo_felironshell.jpg","inv_gizmo_felironshell.jpg"
133297,"Vest of Misshapen Hides","https://wow.zamimg.com/images/wow/icons/large/inv_chest_leather_31.jpg","inv_chest_leather_31.jpg"
133298,"Wild Hammer","https://wow.zamimg.com/images/wow/icons/large/inv_mace_127.jpg","inv_mace_127.jpg"
133299,"Circle of Bone","https://wow.zamimg.com/images/wow/icons/large/inv_jewelry_ring_66.jpg","inv_jewelry_ring_66.jpg"
133300,"Mark of Khardros","https://wow.zamimg.com/images/wow/icons/large/inv_hammer_04.jpg","inv_hammer_04.jpg"
133301,"Mace of Transformed Bone","https://wow.zamimg.com/images/wow/icons/large/inv_mace_1h_cataclysm_c_03.jpg","inv_mace_1h_cataclysm_c_03.jpg"
133302,"Crown of Enfeebled Bodies","https://wow.zamimg.com/images/wow/icons/large/inv_helmet_robe_dungeonrobe_c_03.jpg","inv_helmet_robe_dungeonrobe_c_03.jpg"
133303,"Staff of Siphoned Essences","https://wow.zamimg.com/images/wow/icons/large/inv_stave_2h_cataclysm_c_02.jpg","inv_stave_2h_cataclysm_c_02.jpg"
133304,"Gale of Shadows","https://wow.zamimg.com/images/wow/icons/large/spell_shadow_gathershadows.jpg","spell_shadow_gathershadows.jpg"
133305,"Corrupted Egg Shell","https://wow.zamimg.com/images/wow/icons/large/inv_misc_cat_trinket09.jpg","inv_misc_cat_trinket09.jpg"
133306,"Bracers of Umbral Mending","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_09.jpg","inv_bracer_09.jpg"
133308,"Curse-Tainted Leggings","https://wow.zamimg.com/images/wow/icons/large/inv_pants_robe_dungeonrobe_c_03.jpg","inv_pants_robe_dungeonrobe_c_03.jpg"
133309,"Shroud of Dark Memories","https://wow.zamimg.com/images/wow/icons/large/inv_misc_cape_cataclysm_tank_c_01.jpg","inv_misc_cape_cataclysm_tank_c_01.jpg"
133353,"Troggbone Cinch","https://wow.zamimg.com/images/wow/icons/large/inv_belt_103.jpg","inv_belt_103.jpg"
133374,"Courier's Dragonriding Spaulders","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_mail_dungeonmail_c_03.jpg","inv_shoulder_mail_dungeonmail_c_03.jpg"
