"itemid","itemname","itemimageurl","itemimagename"
178691,"Hood of the Hidden Path","https://wow.zamimg.com/images/wow/icons/large/inv_helm_leather_oribosdungeon_c_01.jpg","inv_helm_leather_oribosdungeon_c_01.jpg"
178692,"Soulthorn Visage","https://wow.zamimg.com/images/wow/icons/large/inv_helm_drustmask_d_01.jpg","inv_helm_drustmask_d_01.jpg"
178693,"Cocoonsilk Cowl","https://wow.zamimg.com/images/wow/icons/large/inv_helm_cloth_oribosdungeon_c_01.jpg","inv_helm_cloth_oribosdungeon_c_01.jpg"
178694,"Wrathbark Greathelm","https://wow.zamimg.com/images/wow/icons/large/inv_helm_drustmask_d_01.jpg","inv_helm_drustmask_d_01.jpg"
178695,"Wintersnap Shoulderguards","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_mail_oribosdungeon_c_01.jpg","inv_shoulder_mail_oribosdungeon_c_01.jpg"
178696,"Ingra Maloch's Mantle","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_cloth_oribosdungeon_c_01.jpg","inv_shoulder_cloth_oribosdungeon_c_01.jpg"
178697,"Prankster's Pauldrons","https://wow.zamimg.com/images/wow/icons/large/inv_plate_oribosdungeon_c_01_shoulder.jpg","inv_plate_oribosdungeon_c_01_shoulder.jpg"
178698,"Rainshadow Hauberk","https://wow.zamimg.com/images/wow/icons/large/inv_chest_leather_oribosdungeon_c_01.jpg","inv_chest_leather_oribosdungeon_c_01.jpg"
178699,"Sapgorger Belt","https://wow.zamimg.com/images/wow/icons/large/inv_belt_leather_oribosdungeon_c_01.jpg","inv_belt_leather_oribosdungeon_c_01.jpg"
178700,"Clasp of Waning Shadow","https://wow.zamimg.com/images/wow/icons/large/inv_belt_mail_oribosdungeon_c_01.jpg","inv_belt_mail_oribosdungeon_c_01.jpg"
178701,"Gormshell Greaves","https://wow.zamimg.com/images/wow/icons/large/inv_plate_oribosdungeon_c_01_pants.jpg","inv_plate_oribosdungeon_c_01_pants.jpg"
178702,"Bands of the Undergrowth","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_leather_oribosdungeon_c_01.jpg","inv_bracer_leather_oribosdungeon_c_01.jpg"
178703,"Hiveswarm Bracers","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_mail_oribosdungeon_c_01.jpg","inv_bracer_mail_oribosdungeon_c_01.jpg"
178704,"Deathshackle Wristwraps","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_cloth_oribosdungeon_c_01.jpg","inv_bracer_cloth_oribosdungeon_c_01.jpg"
178705,"Tricksprite Gloves","https://wow.zamimg.com/images/wow/icons/large/inv_glove_cloth_oribosdungeon_c_01.jpg","inv_glove_cloth_oribosdungeon_c_01.jpg"
178706,"Fogweaver Gauntlets","https://wow.zamimg.com/images/wow/icons/large/inv_plate_oribosdungeon_c_01_glove.jpg","inv_plate_oribosdungeon_c_01_glove.jpg"
178707,"Trailspinner Pendant","https://wow.zamimg.com/images/wow/icons/large/inv_neck_ardenweald_01_silver.jpg","inv_neck_ardenweald_01_silver.jpg"
178708,"Unbound Changeling","https://wow.zamimg.com/images/wow/icons/large/inv_pet_spectralporcupinered.jpg","inv_pet_spectralporcupinered.jpg"
178709,"Scithewood Scepter","https://wow.zamimg.com/images/wow/icons/large/inv_mace_1h_oribosdungeon_c_01.jpg","inv_mace_1h_oribosdungeon_c_01.jpg"
178710,"Tanglewood Thorn","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_oribosdungeon_c_01.jpg","inv_knife_1h_oribosdungeon_c_01.jpg"
178711,"Axe of the Deadgrove","https://wow.zamimg.com/images/wow/icons/large/inv_axe_1h_oribosdungeon_c_01.jpg","inv_axe_1h_oribosdungeon_c_01.jpg"
178712,"Acidslough Bulwark","https://wow.zamimg.com/images/wow/icons/large/inv_shield_1h_oribosdungeon_c_01.jpg","inv_shield_1h_oribosdungeon_c_01.jpg"
178713,"Drustlord's Greataxe","https://wow.zamimg.com/images/wow/icons/large/inv_axe_2h_drustvar_b_01.jpg","inv_axe_2h_drustvar_b_01.jpg"
178714,"Lakali's Spire of Knowledge","https://wow.zamimg.com/images/wow/icons/large/inv_staff_2h_oribosdungeon_c_01.jpg","inv_staff_2h_oribosdungeon_c_01.jpg"
178715,"Mistcaller Ocarina","https://wow.zamimg.com/images/wow/icons/large/inv_misc_primitive_toy03.jpg","inv_misc_primitive_toy03.jpg"
182305,"Crown of Autumnal Flora","https://wow.zamimg.com/images/wow/icons/large/inv_helm_flowercrown_a_01_orange.jpg","inv_helm_flowercrown_a_01_orange.jpg"
