"itemid","itemname","itemimageurl","itemimagename"
219308,"Signet of the Priory","https://wow.zamimg.com/images/wow/icons/large/inv_arathordungeon_signet_color1.jpg","inv_arathordungeon_signet_color1.jpg"
219309,"Tome of Light's Devotion","https://wow.zamimg.com/images/wow/icons/large/inv_7xp_inscription_talenttome01.jpg","inv_7xp_inscription_talenttome01.jpg"
219310,"Bursting Lightshard","https://wow.zamimg.com/images/wow/icons/large/inv_arathordungeon_fragment_color4.jpg","inv_arathordungeon_fragment_color4.jpg"
221116,"Glorious Defender's Poleaxe","https://wow.zamimg.com/images/wow/icons/large/inv_polearm_2h_earthendungeon_c_01.jpg","inv_polearm_2h_earthendungeon_c_01.jpg"
221117,"Sanctified Priory Wall","https://wow.zamimg.com/images/wow/icons/large/inv_shield_1h_earthendungeon_c_02.jpg","inv_shield_1h_earthendungeon_c_02.jpg"
221118,"Flameforged Armguard","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_plate_earthendungeon_c_01.jpg","inv_bracer_plate_earthendungeon_c_01.jpg"
221119,"Holybound Grips","https://wow.zamimg.com/images/wow/icons/large/inv_glove_mail_earthendungeon_c_01.jpg","inv_glove_mail_earthendungeon_c_01.jpg"
221120,"Stalwart Guardian's Boots","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_boot.jpg","inv_leather_earthendungeon_c_01_boot.jpg"
221121,"Honorbound Retainer's Sash","https://wow.zamimg.com/images/wow/icons/large/inv_belt_cloth_earthendungeon_c_01.jpg","inv_belt_cloth_earthendungeon_c_01.jpg"
221122,"Hand of Beledar","https://wow.zamimg.com/images/wow/icons/large/inv_mace_1h_earthendungeon_c_01.jpg","inv_mace_1h_earthendungeon_c_01.jpg"
221123,"Devoted Plate Walkers","https://wow.zamimg.com/images/wow/icons/large/inv_boot_plate_earthendungeon_c_01.jpg","inv_boot_plate_earthendungeon_c_01.jpg"
221124,"Consecrated Baron's Bindings","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_mail_earthendungeon_c_01.jpg","inv_bracer_mail_earthendungeon_c_01.jpg"
221125,"Helm of the Righteous Crusade","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_helm.jpg","inv_leather_earthendungeon_c_01_helm.jpg"
221126,"Zealous Warden's Raiment","https://wow.zamimg.com/images/wow/icons/large/inv_chest_cloth_earthendungeon_c_01.jpg","inv_chest_cloth_earthendungeon_c_01.jpg"
221127,"Emberbrand Zweihander","https://wow.zamimg.com/images/wow/icons/large/inv_sword_2h_earthendungeon_c_01.jpg","inv_sword_2h_earthendungeon_c_01.jpg"
221128,"Starforged Seraph's Mace","https://wow.zamimg.com/images/wow/icons/large/inv_mace_1h_earthendungeon_c_01.jpg","inv_mace_1h_earthendungeon_c_01.jpg"
221129,"Divine Pyrewalkers","https://wow.zamimg.com/images/wow/icons/large/inv_pant_mail_earthendungeon_c_01.jpg","inv_pant_mail_earthendungeon_c_01.jpg"
221130,"Seraphic Wraps of the Ordained","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_chest.jpg","inv_leather_earthendungeon_c_01_chest.jpg"
221131,"Elysian Flame Crown","https://wow.zamimg.com/images/wow/icons/large/inv_helm_cloth_earthendungeon_c_01.jpg","inv_helm_cloth_earthendungeon_c_01.jpg"
221200,"Radiant Necromancer's Band","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_arathor_ring_01_color2.jpg","inv_11_0_arathor_ring_01_color2.jpg"
221203,"Reanimator's Pyreforged Shoulders","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_plate_earthendungeon_c_01.jpg","inv_shoulder_plate_earthendungeon_c_01.jpg"
