"itemid","itemname","itemimageurl","itemimagename"
219294,"Charged Stormrook Plume","https://wow.zamimg.com/images/wow/icons/large/inv_achievement_dungeon_rookery.jpg","inv_achievement_dungeon_rookery.jpg"
219295,"Sigil of Algari Concordance","https://wow.zamimg.com/images/wow/icons/large/inv_misc_dungeonsignetearthen02_color1.jpg","inv_misc_dungeonsignetearthen02_color1.jpg"
219296,"Entropic Skardyn Core","https://wow.zamimg.com/images/wow/icons/large/inv_nullstone_void.jpg","inv_nullstone_void.jpg"
221032,"Voltaic Stormcaller","https://wow.zamimg.com/images/wow/icons/large/inv_staff_2h_earthendungeon_c_01.jpg","inv_staff_2h_earthendungeon_c_01.jpg"
221033,"Hyperactive Stormclaw","https://wow.zamimg.com/images/wow/icons/large/inv_axe_1h_earthendungeon_c_01.jpg","inv_axe_1h_earthendungeon_c_01.jpg"
221034,"Thunder-Clad Legguards","https://wow.zamimg.com/images/wow/icons/large/inv_pant_plate_earthendungeon_c_01.jpg","inv_pant_plate_earthendungeon_c_01.jpg"
221035,"Treads of the Galvanic Skysoarer","https://wow.zamimg.com/images/wow/icons/large/inv_boot_mail_earthendungeon_c_01.jpg","inv_boot_mail_earthendungeon_c_01.jpg"
221036,"Tempestwind Handlers","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_glove.jpg","inv_leather_earthendungeon_c_01_glove.jpg"
221037,"Charged Rookfeather Wraps","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_cloth_earthendungeon_c_01.jpg","inv_bracer_cloth_earthendungeon_c_01.jpg"
221038,"Crashing Thunderhammer","https://wow.zamimg.com/images/wow/icons/large/inv_mace_2h_earthendungeon_c_02.jpg","inv_mace_2h_earthendungeon_c_02.jpg"
221039,"Ireborne Stormbow","https://wow.zamimg.com/images/wow/icons/large/inv_bow_1h_earthendungeon_c_01.jpg","inv_bow_1h_earthendungeon_c_01.jpg"
221040,"Lightning-Conductor's Bands","https://wow.zamimg.com/images/wow/icons/large/inv_belt_plate_earthendungeon_c_01.jpg","inv_belt_plate_earthendungeon_c_01.jpg"
221041,"Boltbreaker Armor","https://wow.zamimg.com/images/wow/icons/large/inv_chest_mail_earthendungeon_c_01.jpg","inv_chest_mail_earthendungeon_c_01.jpg"
221042,"Squallrider's Kilt","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_pant.jpg","inv_leather_earthendungeon_c_01_pant.jpg"
221043,"Cloudstrider Soles","https://wow.zamimg.com/images/wow/icons/large/inv_boot_cloth_earthendungeon_c_01.jpg","inv_boot_cloth_earthendungeon_c_01.jpg"
221044,"Shadowskean of the Colossus","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_earthendungeon_c_02.jpg","inv_knife_1h_earthendungeon_c_02.jpg"
221045,"Galebreaker Bulwark","https://wow.zamimg.com/images/wow/icons/large/inv_shield_1h_earthendungeon_c_02.jpg","inv_shield_1h_earthendungeon_c_02.jpg"
221046,"Behemoth Kneebender","https://wow.zamimg.com/images/wow/icons/large/inv_mace_1h_earthendungeon_c_02.jpg","inv_mace_1h_earthendungeon_c_02.jpg"
221047,"Monstrosity's Gaze","https://wow.zamimg.com/images/wow/icons/large/inv_helm_plate_earthendungeon_c_01.jpg","inv_helm_plate_earthendungeon_c_01.jpg"
221048,"Amice of Oblivion","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_mail_earthendungeon_c_01.jpg","inv_shoulder_mail_earthendungeon_c_01.jpg"
221049,"Jerkin of Awakened Stone","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_chest.jpg","inv_leather_earthendungeon_c_01_chest.jpg"
221050,"Ancient Hardened Legwraps","https://wow.zamimg.com/images/wow/icons/large/inv_pant_cloth_earthendungeon_c_01.jpg","inv_pant_cloth_earthendungeon_c_01.jpg"
221197,"Hoop of the Blighted","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_earthen_earthenring_color5.jpg","inv_11_0_earthen_earthenring_color5.jpg"
