"itemid","itemname","itemimageurl","itemimagename"
159237,"Captain's Dustfinders","https://wow.zamimg.com/images/wow/icons/large/inv_glove_cloth_kultirasdungeon_c_01.jpg","inv_glove_cloth_kultirasdungeon_c_01.jpg"
159245,"Cord of the Pious Warder","https://wow.zamimg.com/images/wow/icons/large/inv_belt_cloth_kultirasdungeon_c_01.jpg","inv_belt_cloth_kultirasdungeon_c_01.jpg"
159250,"Powder Monkey's Leggings","https://wow.zamimg.com/images/wow/icons/large/inv_pant_cloth_kultirasdungeon_c_01.jpg","inv_pant_cloth_kultirasdungeon_c_01.jpg"
159251,"Top-Sail Footwraps","https://wow.zamimg.com/images/wow/icons/large/inv_boot_cloth_kultirasdungeon_c_01.jpg","inv_boot_cloth_kultirasdungeon_c_01.jpg"
159278,"Slippers of Unwavering Faith","https://wow.zamimg.com/images/wow/icons/large/inv_boot_cloth_kultirasdungeon_c_01.jpg","inv_boot_cloth_kultirasdungeon_c_01.jpg"
159309,"Port Pillager's Belt","https://wow.zamimg.com/images/wow/icons/large/inv_belt_leather_kultirasdungeon_c_01.jpg","inv_belt_leather_kultirasdungeon_c_01.jpg"
159320,"Besieger's Deckstalkers","https://wow.zamimg.com/images/wow/icons/large/inv_boot_leather_kultirasdungeon_c_01.jpg","inv_boot_leather_kultirasdungeon_c_01.jpg"
159322,"Seawalker's Pantaloons","https://wow.zamimg.com/images/wow/icons/large/inv_pant_leather_kultirasdungeon_c_01.jpg","inv_pant_leather_kultirasdungeon_c_01.jpg"
159328,"Wharf Warden's Gloves","https://wow.zamimg.com/images/wow/icons/large/inv_glove_leather_kultirasdungeon_c_01.jpg","inv_glove_leather_kultirasdungeon_c_01.jpg"
159367,"Unstoppable Zealot's Legplates","https://wow.zamimg.com/images/wow/icons/large/inv_pants_mail_kultirasdungeon_c_01.jpg","inv_pants_mail_kultirasdungeon_c_01.jpg"
159372,"Dread Captain's Irons","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_mail_kultirasdungeon_c_01.jpg","inv_bracer_mail_kultirasdungeon_c_01.jpg"
159379,"Sure-Foot Sabatons","https://wow.zamimg.com/images/wow/icons/large/inv_boots_mail_kultirasdungeon_c_01.jpg","inv_boots_mail_kultirasdungeon_c_01.jpg"
159386,"Anchor Chain Girdle","https://wow.zamimg.com/images/wow/icons/large/inv_belt_mail_kultirasdungeon_c_01.jpg","inv_belt_mail_kultirasdungeon_c_01.jpg"
159411,"Legplates of the Maritime Guard","https://wow.zamimg.com/images/wow/icons/large/inv_pant_plate_kultirasdungeon_c_01.jpg","inv_pant_plate_kultirasdungeon_c_01.jpg"
