"itemid","itemname","itemimageurl","itemimagename"
219311,"Void Pactstone","https://wow.zamimg.com/images/wow/icons/large/inv_10_alchemy_alchemystone_color4.jpg","inv_10_alchemy_alchemystone_color4.jpg"
219312,"Empowering Crystal of Anub'ikkaj","https://wow.zamimg.com/images/wow/icons/large/inv_arathordungeon_fragment_color5.jpg","inv_arathordungeon_fragment_color5.jpg"
221132,"Overflowing Umbral Pail","https://wow.zamimg.com/images/wow/icons/large/inv_offhand_1h_earthendungeon_c_01.jpg","inv_offhand_1h_earthendungeon_c_01.jpg"
221133,"Girdle of Somber Ploys","https://wow.zamimg.com/images/wow/icons/large/inv_belt_plate_earthendungeon_c_01.jpg","inv_belt_plate_earthendungeon_c_01.jpg"
221134,"Shadow Congregant's Belt","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_belt.jpg","inv_leather_earthendungeon_c_01_belt.jpg"
221135,"Fanatic's Blackened Shoulderwraps","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_cloth_earthendungeon_c_01.jpg","inv_shoulder_cloth_earthendungeon_c_01.jpg"
221136,"Devout Zealot's Ring","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_nerubian_ring_01_color4.jpg","inv_11_0_nerubian_ring_01_color4.jpg"
221137,"Black Shepherd's Guisarme","https://wow.zamimg.com/images/wow/icons/large/inv_polearm_2h_earthendungeon_c_02.jpg","inv_polearm_2h_earthendungeon_c_02.jpg"
221138,"Parson's Ornamented Blade","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_earthendungeon_c_02.jpg","inv_knife_1h_earthendungeon_c_02.jpg"
221139,"Dark Priest's Carapace","https://wow.zamimg.com/images/wow/icons/large/inv_chest_plate_earthendungeon_c_01.jpg","inv_chest_plate_earthendungeon_c_01.jpg"
221140,"Shadowblight Mantle","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_mail_earthendungeon_c_01.jpg","inv_shoulder_mail_earthendungeon_c_01.jpg"
221141,"High Nerubian Signet","https://wow.zamimg.com/images/wow/icons/large/inv_11_0_nerubian_ring_02_color5.jpg","inv_11_0_nerubian_ring_02_color5.jpg"
221142,"Scheming Assailer's Bands","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_bracer.jpg","inv_leather_earthendungeon_c_01_bracer.jpg"
221202,"Defiance Crusher's Sabatons","https://wow.zamimg.com/images/wow/icons/large/inv_boot_mail_earthendungeon_c_01.jpg","inv_boot_mail_earthendungeon_c_01.jpg"
