"itemid","itemname","itemimageurl","itemimagename"
178730,"Engorged Worm Smasher","https://wow.zamimg.com/images/wow/icons/large/inv_mace_1h_oribosdungeon_c_02.jpg","inv_mace_1h_oribosdungeon_c_02.jpg"
178731,"Viscera-Stitched Footpads","https://wow.zamimg.com/images/wow/icons/large/inv_boot_leather_oribosdungeon_c_01.jpg","inv_boot_leather_oribosdungeon_c_01.jpg"
178732,"Abominable Visage","https://wow.zamimg.com/images/wow/icons/large/inv_helm_cloth_oribosdungeon_c_01.jpg","inv_helm_cloth_oribosdungeon_c_01.jpg"
178733,"Blightbone Spaulders","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_mail_oribosdungeon_c_01.jpg","inv_shoulder_mail_oribosdungeon_c_01.jpg"
178734,"Fused Bone Greatbelt","https://wow.zamimg.com/images/wow/icons/large/inv_plate_oribosdungeon_c_01_buckle.jpg","inv_plate_oribosdungeon_c_01_buckle.jpg"
178735,"Blight Belcher","https://wow.zamimg.com/images/wow/icons/large/inv_firearm_2h_revendrethquest_b_01.jpg","inv_firearm_2h_revendrethquest_b_01.jpg"
178736,"Stitchflesh's Misplaced Signet","https://wow.zamimg.com/images/wow/icons/large/inv_argus_ring02.jpg","inv_argus_ring02.jpg"
178737,"Amarth's Spellblade","https://wow.zamimg.com/images/wow/icons/large/inv_1h_oribosdungeon_c_01.jpg","inv_1h_oribosdungeon_c_01.jpg"
178738,"Rattling Deadeye Hood","https://wow.zamimg.com/images/wow/icons/large/inv_helm_mail_oribosdungeon_c_01.jpg","inv_helm_mail_oribosdungeon_c_01.jpg"
178739,"Legplates of Unholy Frenzy","https://wow.zamimg.com/images/wow/icons/large/inv_plate_oribosdungeon_c_01_pants.jpg","inv_plate_oribosdungeon_c_01_pants.jpg"
178740,"Reanimator's Mantle","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_cloth_oribosdungeon_c_01.jpg","inv_shoulder_cloth_oribosdungeon_c_01.jpg"
178741,"Risen Monstrosity Cuffs","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_leather_oribosdungeon_c_01.jpg","inv_bracer_leather_oribosdungeon_c_01.jpg"
178742,"Bottled Flayedwing Toxin","https://wow.zamimg.com/images/wow/icons/large/inv_alchemy_70_potion2.jpg","inv_alchemy_70_potion2.jpg"
178743,"Stitchflesh's Scalpel","https://wow.zamimg.com/images/wow/icons/large/inv_knife_1h_oribosdungeon_c_01.jpg","inv_knife_1h_oribosdungeon_c_01.jpg"
178744,"Freshly Embalmed Jerkin","https://wow.zamimg.com/images/wow/icons/large/inv_chest_leather_oribosdungeon_c_01.jpg","inv_chest_leather_oribosdungeon_c_01.jpg"
178745,"Striders of Restless Malice","https://wow.zamimg.com/images/wow/icons/large/inv_boot_mail_oribosdungeon_c_01.jpg","inv_boot_mail_oribosdungeon_c_01.jpg"
178748,"Gory Surgeon's Gloves","https://wow.zamimg.com/images/wow/icons/large/inv_glove_cloth_oribosdungeon_c_01.jpg","inv_glove_cloth_oribosdungeon_c_01.jpg"
178749,"Vile Butcher's Pauldrons","https://wow.zamimg.com/images/wow/icons/large/inv_plate_oribosdungeon_c_01_shoulder.jpg","inv_plate_oribosdungeon_c_01_shoulder.jpg"
178750,"Encrusted Canopic Lid","https://wow.zamimg.com/images/wow/icons/large/inv_shield_1h_oribosdungeon_c_01.jpg","inv_shield_1h_oribosdungeon_c_01.jpg"
178751,"Spare Meat Hook","https://wow.zamimg.com/images/wow/icons/large/inv_archaeology_70_tauren_moosebonefishhook.jpg","inv_archaeology_70_tauren_moosebonefishhook.jpg"
178772,"Satchel of Misbegotten Minions","https://wow.zamimg.com/images/wow/icons/large/inv_misc_coinbag07.jpg","inv_misc_coinbag07.jpg"
178777,"Darkfrost Helmet","https://wow.zamimg.com/images/wow/icons/large/inv_plate_oribosdungeon_c_01_helm.jpg","inv_plate_oribosdungeon_c_01_helm.jpg"
178778,"Lichbone Legguards","https://wow.zamimg.com/images/wow/icons/large/inv_pant_mail_oribosdungeon_c_01.jpg","inv_pant_mail_oribosdungeon_c_01.jpg"
178779,"Undying Chill Shoulderpads","https://wow.zamimg.com/images/wow/icons/large/inv_shoulder_leather_oribosdungeon_c_01.jpg","inv_shoulder_leather_oribosdungeon_c_01.jpg"
178780,"Rimebinder's Runeblade","https://wow.zamimg.com/images/wow/icons/large/inv_1h_oribosdungeon_c_01.jpg","inv_1h_oribosdungeon_c_01.jpg"
178781,"Ritual Commander's Ring","https://wow.zamimg.com/images/wow/icons/large/inv_ring_revendreth_01_brown.jpg","inv_ring_revendreth_01_brown.jpg"
178782,"Necropolis Lord's Shackles","https://wow.zamimg.com/images/wow/icons/large/inv_bracer_cloth_oribosdungeon_c_01.jpg","inv_bracer_cloth_oribosdungeon_c_01.jpg"
178783,"Siphoning Phylactery Shard","https://wow.zamimg.com/images/wow/icons/large/inv_enchanting_70_chaosshard.jpg","inv_enchanting_70_chaosshard.jpg"
