"itemid","itemname","itemimageurl","itemimagename"
219300,"Skarmorak Shard","https://wow.zamimg.com/images/wow/icons/large/inv_arathordungeon_fragment_color2.jpg","inv_arathordungeon_fragment_color2.jpg"
219301,"Overclocked Gear-a-Rang Launcher","https://wow.zamimg.com/images/wow/icons/large/inv_firearm_2h_engineering_c_01_blue.jpg","inv_firearm_2h_engineering_c_01_blue.jpg"
219302,"Scrapsinger's Symphony","https://wow.zamimg.com/images/wow/icons/large/inv_10_blacksmithing_craftedoptional_engineering_color1.jpg","inv_10_blacksmithing_craftedoptional_engineering_color1.jpg"
219303,"High Speaker's Accretion","https://wow.zamimg.com/images/wow/icons/large/inv_magic_swirl_color3.jpg","inv_magic_swirl_color3.jpg"
221079,"Crystal-Fissure Girdle","https://wow.zamimg.com/images/wow/icons/large/inv_belt_plate_earthendungeon_c_01.jpg","inv_belt_plate_earthendungeon_c_01.jpg"
221080,"Corpseleecher Grips","https://wow.zamimg.com/images/wow/icons/large/inv_glove_mail_earthendungeon_c_01.jpg","inv_glove_mail_earthendungeon_c_01.jpg"
221081,"Guise of the Construct","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_helm.jpg","inv_leather_earthendungeon_c_01_helm.jpg"
221082,"Tainted Earthshard Walkers","https://wow.zamimg.com/images/wow/icons/large/inv_boot_cloth_earthendungeon_c_01.jpg","inv_boot_cloth_earthendungeon_c_01.jpg"
221083,"Wardbreaker of the Fractured","https://wow.zamimg.com/images/wow/icons/large/inv_mace_2h_earthendungeon_c_02.jpg","inv_mace_2h_earthendungeon_c_02.jpg"
221084,"Skardyn Mercybringer","https://wow.zamimg.com/images/wow/icons/large/inv_glaive_1h_earthendungeon_c_01.jpg","inv_glaive_1h_earthendungeon_c_01.jpg"
221085,"Melodious Iron Songspire","https://wow.zamimg.com/images/wow/icons/large/inv_staff_2h_earthendungeon_c_02.jpg","inv_staff_2h_earthendungeon_c_02.jpg"
221086,"Machinist's Searing Handguards","https://wow.zamimg.com/images/wow/icons/large/inv_glove_plate_earthendungeon_c_01.jpg","inv_glove_plate_earthendungeon_c_01.jpg"
221087,"Dorlita's Safety Belt","https://wow.zamimg.com/images/wow/icons/large/inv_belt_cloth_earthendungeon_c_01.jpg","inv_belt_cloth_earthendungeon_c_01.jpg"
221088,"Anvilhide Cape","https://wow.zamimg.com/images/wow/icons/large/inv_cape_plate_earthendungeon_c_01.jpg","inv_cape_plate_earthendungeon_c_01.jpg"
221089,"Silver-Tongued Boltcaster","https://wow.zamimg.com/images/wow/icons/large/inv_crossbow_2h_earthendungeon_c_01.jpg","inv_crossbow_2h_earthendungeon_c_01.jpg"
221090,"Eirich's Fist of Deception","https://wow.zamimg.com/images/wow/icons/large/inv_hand_1h_earthendungeon_c_01.jpg","inv_hand_1h_earthendungeon_c_01.jpg"
221091,"Cutting-Edge Sermon","https://wow.zamimg.com/images/wow/icons/large/inv_sword_1h_earthendungeon_c_01.jpg","inv_sword_1h_earthendungeon_c_01.jpg"
221092,"Legplates of Broken Trust","https://wow.zamimg.com/images/wow/icons/large/inv_pant_plate_earthendungeon_c_01.jpg","inv_pant_plate_earthendungeon_c_01.jpg"
221094,"Whispering Umbral Mantle","https://wow.zamimg.com/images/wow/icons/large/inv_leather_earthendungeon_c_01_shoulder.jpg","inv_leather_earthendungeon_c_01_shoulder.jpg"
221095,"Shadowed Orator's Tunic","https://wow.zamimg.com/images/wow/icons/large/inv_chest_cloth_earthendungeon_c_01.jpg","inv_chest_cloth_earthendungeon_c_01.jpg"
